t,norm,slow
736,129.0418090820,64.4649047852
737,129.1490478516,64.5184936523
738,129.2562866211,64.5720825195
739,129.3516235352,64.6256713867
740,129.4469604492,64.6792602539
741,129.5422973633,64.7328491211
742,129.6376342773,64.7864379883
743,129.7329711914,64.8400268555
744,129.8283081055,64.8936157227
745,129.9236450195,64.9472045898
746,130.0189819336,65.0007934570
747,130.3526000977,65.0543823242
748,130.6862182617,65.1079711914
749,131.0198364258,65.1615600586
750,131.3534545898,65.2151489258
751,131.6870727539,65.2687377930
752,132.0206909180,65.3223266602
753,132.3543090820,65.3759155273
754,132.6879272461,65.4295043945
755,133.0215454102,65.4830932617
756,133.3551635742,65.5366821289
757,133.6887817383,65.5902709961
758,134.0223999023,65.6438598633
759,134.3560180664,65.6974487305
760,134.6896362305,65.7510375977
761,135.0232543945,65.8046264648
762,135.3568725586,65.8582153320
763,135.6904907227,65.9118041992
764,136.0241088867,65.9653930664
765,136.3458251953,66.0189819336
766,136.6675415039,66.0725708008
767,136.9892578125,66.1261596680
768,137.3109741211,66.1797485352
769,137.6326904297,66.2333374023
770,137.9544067383,66.2869262695
771,138.2761230469,66.3405151367
772,138.5978393555,66.3881835938
773,138.7527465820,66.4358520508
774,138.9076538086,66.4835205078
775,139.0625610352,66.5311889648
776,139.2174682617,66.5788574219
777,139.3723754883,66.6265258789
778,139.5272827148,66.6741943359
779,139.6821899414,66.7218627930
780,139.8370971680,66.7695312500
781,139.9920043945,66.8171997070
782,140.1469116211,66.8648681641
783,140.3018188477,66.9125366211
784,140.4567260742,66.9602050781
785,140.6116333008,67.0078735352
786,140.7665405273,67.0555419922
787,140.9214477539,67.1032104492
788,141.0763549805,67.1508789063
789,141.2312622070,67.3176879883
790,141.3861694336,67.4844970703
791,141.5410766602,67.6513061523
792,141.6959838867,67.8181152344
793,141.8508911133,67.9849243164
794,142.0057983398,68.1517333984
795,142.1607055664,68.3185424805
796,142.3156127930,68.4853515625
797,142.4705200195,68.6521606445
798,142.6254272461,68.8189697266
799,142.7684326172,68.9857788086
800,142.9114379883,69.1525878906
801,143.0544433594,69.3193969727
802,143.1974487305,69.4862060547
803,143.3404541016,69.6530151367
804,143.4834594727,69.8198242188
805,143.6264648438,69.9866333008
806,143.7694702148,70.1534423828
807,143.9124755859,70.3202514648
808,144.0554809570,70.4870605469
809,144.1984863281,70.6538696289
810,144.3414916992,70.8206787109
811,144.4844970703,70.9874877930
812,144.6275024414,71.1542968750
813,144.7705078125,71.3211059570
814,144.9135131836,71.4879150391
815,145.0565185547,71.6547241211
816,145.1995239258,71.8215332031
817,145.3425292969,71.9883422852
818,145.4855346680,72.1551513672
819,145.6285400391,72.3219604492
820,145.7715454102,72.4887695313
821,145.9145507813,72.6555786133
822,146.0575561523,72.8223876953
823,146.2005615234,72.9891967773
824,146.3435668945,73.1500244141
825,146.4865722656,73.3108520508
826,146.6295776367,73.4716796875
827,146.7725830078,73.6325073242
828,146.9155883789,73.7933349609
829,147.0585937500,73.9541625977
830,147.2015991211,74.1149902344
831,147.3446044922,74.2758178711
832,147.4876098633,74.4366455078
833,147.6306152344,74.5974731445
834,147.7736206055,74.7583007813
835,147.9166259766,74.9191284180
836,148.0596313477,75.0799560547
837,148.2026367188,75.2407836914
838,148.3456420898,75.4016113281
839,148.4886474609,75.5624389648
840,148.6316528320,75.7232666016
841,148.7746582031,75.8007202148
842,148.8818969727,75.8781738281
843,148.9891357422,75.9556274414
844,149.0963745117,76.0330810547
845,149.2036132813,76.1105346680
846,149.3108520508,76.1879882813
847,149.4180908203,76.2654418945
848,149.5253295898,76.3428955078
849,149.6325683594,76.4203491211
850,149.7398071289,76.4978027344
851,149.8589477539,76.5752563477
852,149.9780883789,76.6527099609
853,150.0972290039,76.7301635742
854,150.2163696289,76.8076171875
855,150.3355102539,76.8850708008
856,150.4546508789,76.9625244141
857,150.5737915039,77.0399780273
858,150.6929321289,77.1174316406
859,150.8001708984,77.1948852539
860,150.9074096680,77.2723388672
861,151.0146484375,77.3497924805
862,151.1218872070,77.4272460938
863,151.2291259766,77.5046997070
864,151.3363647461,77.5821533203
865,151.4436035156,77.6596069336
866,151.5508422852,77.7370605469
867,151.6580810547,77.8145141602
868,151.7653198242,77.8919677734
869,151.8725585938,77.9694213867
870,151.9797973633,78.0468750000
871,152.0870361328,78.1243286133
872,152.1942749023,78.2017822266
873,152.3015136719,78.2792358398
